pilot_id,pilot_lane,slot_number,demo_test_tag,participant_name,organization_name,contact_email,consent_status,enrollment_status,invite_status,start_date,end_date,tracked_campaign_url,day_1_assignment,day_3_assignment,day_5_assignment,day_7_assignment,day_10_assignment,day_14_assignment,first_visit_at,challenge_started_at,workflow_completed_at,feedback_result,feedback_detail,minutes_saved_self_reported,callback_avoided,missing_info_category,missing_info_detail,ease_score_1_to_5,returned_day_7,paid_interest,permissioned_story_status,permissioned_quote,story_approval_date,notes
DEMO-TECH-001,individual_tech,1,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-001&audience=field-tech&pilot_id=DEMO-TECH-001,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-002,individual_tech,2,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-002&audience=field-tech&pilot_id=DEMO-TECH-002,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-003,individual_tech,3,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-003&audience=field-tech&pilot_id=DEMO-TECH-003,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-004,individual_tech,4,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-004&audience=field-tech&pilot_id=DEMO-TECH-004,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-005,individual_tech,5,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-005&audience=field-tech&pilot_id=DEMO-TECH-005,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-006,individual_tech,6,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-006&audience=field-tech&pilot_id=DEMO-TECH-006,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-007,individual_tech,7,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-007&audience=field-tech&pilot_id=DEMO-TECH-007,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-008,individual_tech,8,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-008&audience=field-tech&pilot_id=DEMO-TECH-008,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-009,individual_tech,9,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-009&audience=field-tech&pilot_id=DEMO-TECH-009,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
DEMO-TECH-010,individual_tech,10,demo_test,,,,not_requested,unassigned,not_sent,,,https://splashlens.com/campaign.html?utm_source=named_pilot&utm_medium=direct&utm_campaign=activation_proof_14d_202607&utm_content=demo-tech-010&audience=field-tech&pilot_id=DEMO-TECH-010,Try one real code part or equipment family,Repeat with a different real field question,Create one senior-tech vendor parts-counter or customer-safe handoff,Return and rate ease from 1 to 5,Report whether the evidence improved the next step,Complete exit feedback and separate story permission,,,,,,,,,,,,,not_requested,,,
